Version,index,questions_original,question_original,questions,question,choices_original,(choice|CorrectChoice)_original,choices,choice,CorrectChoice
0,1,1,1,1,1,1,1,1,1,
0,2,1,1,1,1,1,2,1,2,
0,3,1,1,1,1,1,3,1,3,
0,4,1,1,1,1,1,4,1,,4
0,5,1,2,1,2,1,1,1,1,
0,6,1,2,1,2,1,2,1,2,
0,7,1,2,1,2,1,3,1,3,
0,8,1,2,1,2,1,4,1,,4
0,9,1,3,1,3,1,1,1,1,
0,10,1,3,1,3,1,2,1,2,
0,11,1,3,1,3,1,3,1,3,
0,12,1,3,1,3,1,4,1,,4
0,13,1,4,1,4,1,1,1,1,
0,14,1,4,1,4,1,2,1,2,
0,15,1,4,1,4,1,3,1,3,
0,16,1,4,1,4,1,4,1,,4
0,17,1,5,1,5,1,1,1,1,
0,18,1,5,1,5,1,2,1,2,
0,19,1,5,1,5,1,3,1,3,
0,20,1,5,1,5,1,4,1,,4
0,21,1,6,1,6,1,1,1,1,
0,22,1,6,1,6,1,2,1,2,
0,23,1,6,1,6,1,3,1,3,
0,24,1,6,1,6,1,4,1,,4
0,25,1,7,1,7,1,1,1,1,
0,26,1,7,1,7,1,2,1,2,
0,27,1,7,1,7,1,3,1,,3
0,28,1,7,1,7,1,4,1,4,
0,29,1,8,1,8,1,1,1,1,
0,30,1,8,1,8,1,2,1,2,
0,31,1,8,1,8,1,3,1,3,
0,32,1,8,1,8,1,4,1,,4
1,1,1,2,1,1,1,1,1,1,
1,2,1,2,1,1,1,4,1,,2
1,3,1,2,1,1,1,3,1,3,
1,4,1,2,1,1,1,2,1,4,
1,5,1,8,1,2,1,4,1,,1
1,6,1,8,1,2,1,2,1,2,
1,7,1,8,1,2,1,1,1,3,
1,8,1,8,1,2,1,3,1,4,
1,9,1,7,1,3,1,1,1,1,
1,10,1,7,1,3,1,2,1,2,
1,11,1,7,1,3,1,3,1,,3
1,12,1,7,1,3,1,4,1,4,
1,13,1,3,1,4,1,1,1,1,
1,14,1,3,1,4,1,2,1,2,
1,15,1,3,1,4,1,4,1,,3
1,16,1,3,1,4,1,3,1,4,
1,17,1,4,1,5,1,1,1,1,
1,18,1,4,1,5,1,4,1,,2
1,19,1,4,1,5,1,2,1,3,
1,20,1,4,1,5,1,3,1,4,
1,21,1,5,1,6,1,2,1,1,
1,22,1,5,1,6,1,3,1,2,
1,23,1,5,1,6,1,4,1,,3
1,24,1,5,1,6,1,1,1,4,
1,25,1,6,1,7,1,2,1,1,
1,26,1,6,1,7,1,1,1,2,
1,27,1,6,1,7,1,4,1,,3
1,28,1,6,1,7,1,3,1,4,
1,29,1,1,1,8,1,1,1,1,
1,30,1,1,1,8,1,2,1,2,
1,31,1,1,1,8,1,3,1,3,
1,32,1,1,1,8,1,4,1,,4
2,1,1,3,1,1,1,3,1,1,
2,2,1,3,1,1,1,1,1,2,
2,3,1,3,1,1,1,2,1,3,
2,4,1,3,1,1,1,4,1,,4
2,5,1,2,1,2,1,4,1,,1
2,6,1,2,1,2,1,2,1,2,
2,7,1,2,1,2,1,3,1,3,
2,8,1,2,1,2,1,1,1,4,
2,9,1,1,1,3,1,3,1,1,
2,10,1,1,1,3,1,1,1,2,
2,11,1,1,1,3,1,2,1,3,
2,12,1,1,1,3,1,4,1,,4
2,13,1,8,1,4,1,3,1,1,
2,14,1,8,1,4,1,1,1,2,
2,15,1,8,1,4,1,2,1,3,
2,16,1,8,1,4,1,4,1,,4
2,17,1,5,1,5,1,1,1,1,
2,18,1,5,1,5,1,4,1,,2
2,19,1,5,1,5,1,2,1,3,
2,20,1,5,1,5,1,3,1,4,
2,21,1,4,1,6,1,1,1,1,
2,22,1,4,1,6,1,4,1,,2
2,23,1,4,1,6,1,2,1,3,
2,24,1,4,1,6,1,3,1,4,
2,25,1,6,1,7,1,3,1,1,
2,26,1,6,1,7,1,4,1,,2
2,27,1,6,1,7,1,1,1,3,
2,28,1,6,1,7,1,2,1,4,
2,29,1,7,1,8,1,2,1,1,
2,30,1,7,1,8,1,4,1,2,
2,31,1,7,1,8,1,1,1,3,
2,32,1,7,1,8,1,3,1,,4
3,1,1,4,1,1,1,2,1,1,
3,2,1,4,1,1,1,1,1,2,
3,3,1,4,1,1,1,4,1,,3
3,4,1,4,1,1,1,3,1,4,
3,5,1,1,1,2,1,2,1,1,
3,6,1,1,1,2,1,1,1,2,
3,7,1,1,1,2,1,3,1,3,
3,8,1,1,1,2,1,4,1,,4
3,9,1,3,1,3,1,2,1,1,
3,10,1,3,1,3,1,4,1,,2
3,11,1,3,1,3,1,3,1,3,
3,12,1,3,1,3,1,1,1,4,
3,13,1,7,1,4,1,1,1,1,
3,14,1,7,1,4,1,4,1,2,
3,15,1,7,1,4,1,3,1,,3
3,16,1,7,1,4,1,2,1,4,
3,17,1,6,1,5,1,3,1,1,
3,18,1,6,1,5,1,1,1,2,
3,19,1,6,1,5,1,2,1,3,
3,20,1,6,1,5,1,4,1,,4
3,21,1,5,1,6,1,4,1,,1
3,22,1,5,1,6,1,1,1,2,
3,23,1,5,1,6,1,3,1,3,
3,24,1,5,1,6,1,2,1,4,
3,25,1,2,1,7,1,3,1,1,
3,26,1,2,1,7,1,4,1,,2
3,27,1,2,1,7,1,2,1,3,
3,28,1,2,1,7,1,1,1,4,
3,29,1,8,1,8,1,1,1,1,
3,30,1,8,1,8,1,2,1,2,
3,31,1,8,1,8,1,3,1,3,
3,32,1,8,1,8,1,4,1,,4
